@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

IconsFeatures,1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1742,21804,2422,2174,248,0,89.760528,10.239472,0,0.889683,0.014704,0.120907,11.088002,46.954853,9213.76658,3576.350703,5637.415877,3.804198,1.476611,2.327587,8239.754763,3.402046,216600.118051,0.965517,168,0.003114,7,0.996886,2241,0.034483,6,0.96,0.965517,0.962751,0.959863,0.981202,0.929374,0.897605,0.007963,0.992037,0.102395,0.897877,0.897605,0.897571,0.889746,0.944821,0.815989,0.89705,0.897605,0.005,18.701,0,18.390625,0,18390.625,8489220,8486079,946481,89.760528,7.142857,?
IconsFeatures,1,1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1743,21803,2423,2161,262,0,89.186958,10.813042,0,0.883492,0.015426,0.105899,11.632721,41.126612,9217.581682,2440.989064,6776.592618,3.804202,1.007424,2.796778,8422.742313,3.476163,221410.377579,0.977011,170,0.010227,23,0.989773,2226,0.022989,4,0.880829,0.977011,0.926431,0.921867,0.986504,0.931387,0.89187,0.008444,0.991556,0.10813,0.894595,0.89187,0.891489,0.884151,0.967926,0.891635,0.890688,0.89187,0.008,22.025,0,21.734375,0,21734.375,8488839,8485690,946870,94.098225,7.977124,?
IconsFeatures,1,2,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1743,21803,2423,2153,270,0,88.856789,11.143211,0,0.879942,0.01575,0.107213,11.877234,41.637041,9217.318863,2492.225715,6725.093148,3.804094,1.02857,2.775523,8406.492242,3.469456,220982.508965,0.965714,169,0.009342,21,0.990658,2227,0.034286,6,0.889474,0.965714,0.926027,0.920923,0.98106,0.92667,0.888568,0.008682,0.991318,0.111432,0.890784,0.888568,0.888376,0.880502,0.967192,0.887942,0.887936,0.888568,0.009,22.904,0,22.46875,0,22468.75,8488839,8485690,946870,93.974412,7.985968,?
IconsFeatures,1,3,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1744,21803,2423,2138,285,0,88.237722,11.762278,0,0.873248,0.016811,0.110396,12.677273,42.873179,9217.346607,2541.636862,6675.709745,3.804105,1.048963,2.755142,8369.508822,3.454193,220010.396121,0.971264,169,0.008448,19,0.991552,2230,0.028736,5,0.898936,0.971264,0.933702,0.92917,0.983948,0.933718,0.882377,0.009286,0.990714,0.117623,0.884144,0.882377,0.881996,0.873605,0.966624,0.881047,0.881283,0.882377,0.005,20.922,0.015625,20.515625,15.625,20515.625,8488839,8485690,946870,93.933141,8.059666,?
IconsFeatures,1,4,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1744,21803,2423,2162,261,0,89.228229,10.771771,0,0.883921,0.015279,0.104075,11.521652,40.418366,9217.346607,2221.391817,6995.954791,3.804105,0.916794,2.887311,8458.928215,3.491097,222360.97563,0.971264,169,0.009337,21,0.990663,2228,0.028736,5,0.889474,0.971264,0.928571,0.923826,0.983826,0.930943,0.892282,0.008521,0.991479,0.107718,0.894662,0.892282,0.891794,0.884401,0.971208,0.89708,0.891289,0.892282,0.006,21.7,0,20.90625,0,20906.25,8488839,8485690,946870,94.758564,8.024291,?
IconsFeatures,1,5,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1744,21803,2423,2164,259,0,89.310772,10.689228,0,0.884827,0.015986,0.108307,12.055018,42.061853,9217.336136,2580.69948,6636.636656,3.804101,1.065084,2.739016,8386.345047,3.461141,220452.942769,0.971264,169,0.007559,17,0.992441,2232,0.028736,5,0.908602,0.971264,0.938889,0.934597,0.985177,0.964464,0.893108,0.008408,0.991592,0.106892,0.894793,0.893108,0.892962,0.885213,0.965879,0.885166,0.89296,0.893108,0.006,21.857,0.015625,21.28125,15.625,21281.25,8488839,8485690,946870,93.726785,7.985968,?
IconsFeatures,1,6,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1745,21803,2423,2134,289,0,88.072637,11.927363,0,0.871457,0.01578,0.107488,11.899449,41.743602,9217.35589,2520.050358,6697.305531,3.804109,1.040054,2.764055,8399.801189,3.466695,220806.71783,0.982759,171,0.011561,26,0.988439,2223,0.017241,3,0.86802,0.982759,0.921833,0.917448,0.98967,0.943919,0.880726,0.009454,0.990546,0.119274,0.88424,0.880726,0.880454,0.872396,0.966757,0.886775,0.879636,0.880726,0.006,20.666,0,20.328125,0,20328.125,8488839,8485690,946870,93.89187,7.980072,?
IconsFeatures,1,7,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1745,21804,2422,2139,283,0,88.315442,11.684558,0,0.874063,0.016818,0.10975,12.68249,42.62208,9213.559589,2501.408898,6712.150691,3.804112,1.032786,2.771326,8369.780404,3.455731,220017.578457,0.965517,168,0.008007,18,0.991993,2230,0.034483,6,0.903226,0.965517,0.933333,0.92859,0.980887,0.92391,0.883154,0.00936,0.99064,0.116846,0.889692,0.883154,0.883388,0.876067,0.967278,0.883344,0.882966,0.883154,0.006,19.687,0,19.53125,0,19531.25,8489228,8486079,946481,94.0545,8.089536,?
IconsFeatures,1,8,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1745,21804,2422,2151,271,0,88.8109,11.1891,0,0.879442,0.015963,0.10792,12.037706,41.911566,9213.69098,2552.884284,6660.806696,3.804166,1.05404,2.750127,8388.865994,3.463611,220519.634264,0.982759,171,0.010676,24,0.989324,2224,0.017241,3,0.876923,0.982759,0.926829,0.922568,0.989949,0.950458,0.888109,0.008797,0.991203,0.111891,0.891113,0.888109,0.88814,0.88028,0.96632,0.88695,0.888227,0.888109,0.007,19.342,0,19.203125,0,19203.125,8489228,8486079,946481,93.806771,7.998113,?
IconsFeatures,1,9,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1746,21804,2422,2124,298,0,87.696119,12.303881,0,0.867418,0.01729,0.11168,13.038173,43.371718,9213.69098,2705.182031,6508.508949,3.804166,1.116921,2.687246,8328.130384,3.438534,218923.066315,0.988506,172,0.010676,24,0.989324,2224,0.011494,2,0.877551,0.988506,0.92973,0.92586,0.99253,0.947896,0.876961,0.009722,0.990278,0.123039,0.881191,0.876961,0.87695,0.868605,0.964396,0.879091,0.877018,0.876961,0.007,20.519,0.015625,20.078125,15.625,20078.125,8489228,8486079,946481,93.476466,8.098384,?
